dhassayid,id,dhgeochemid,companyholeid,companysampleid,anumber,fromdepth,todepth,attributecolumn,attributevalue,element,units,labmethod,lowerdetnvalue,hunits,dsc,hanalyte,hvalue
866637152,78646907,3516031,12DRD001,NFT246501,100006,168.0,169.0,S,0.141000003,S,PCT,None,None,PCT,,S_PPM,1410.0
866637147,78646907,3516031,12DRD001,NFT246501,100006,168.0,169.0,Fe,0.00027,Fe,PCT,None,None,PCT,,Fe_PPM,2.6999998
866637174,78646908,3516031,12DRD001,NFT246502,100006,169.0,170.0,S,0.101899996,S,PCT,None,None,PCT,,S_PPM,1018.99994
866637169,78646908,3516031,12DRD001,NFT246502,100006,169.0,170.0,Fe,0.000261,Fe,PCT,None,None,PCT,,Fe_PPM,2.6100001
866637196,78646909,3516031,12DRD001,NFT246503,100006,170.0,171.0,S,0.089900002,S,PCT,None,None,PCT,,S_PPM,899.0
866637191,78646909,3516031,12DRD001,NFT246503,100006,170.0,171.0,Fe,0.000255,Fe,PCT,None,None,PCT,,Fe_PPM,2.55
866637218,78646910,3516031,12DRD001,NFT246504,100006,171.0,172.0,S,0.1479,S,PCT,None,None,PCT,,S_PPM,1479.0
866637213,78646910,3516031,12DRD001,NFT246504,100006,171.0,172.0,Fe,0.000269,Fe,PCT,None,None,PCT,,Fe_PPM,2.69
866637240,78646911,3516031,12DRD001,NFT246505,100006,172.0,173.0,S,0.154699996,S,PCT,None,None,PCT,,S_PPM,1547.0
866637235,78646911,3516031,12DRD001,NFT246505,100006,172.0,173.0,Fe,0.000223,Fe,PCT,None,None,PCT,,Fe_PPM,2.23
866637262,78646912,3516031,12DRD001,NFT246506,100006,224.0,225.0,S,0.072899997,S,PCT,None,None,PCT,,S_PPM,729.0
866637257,78646912,3516031,12DRD001,NFT246506,100006,224.0,225.0,Fe,0.000251,Fe,PCT,None,None,PCT,,Fe_PPM,2.51
866637279,78646913,3516031,12DRD001,NFT246507,100006,225.0,226.0,Fe,0.000772,Fe,PCT,None,None,PCT,,Fe_PPM,7.72
866637284,78646913,3516031,12DRD001,NFT246507,100006,225.0,226.0,S,7.077499866,S,PCT,None,None,PCT,,S_PPM,70775.0
866637306,78646914,3516031,12DRD001,NFT246508,100006,226.0,227.0,S,1.720399976,S,PCT,None,None,PCT,,S_PPM,17204.0
866637301,78646914,3516031,12DRD001,NFT246508,100006,226.0,227.0,Fe,0.00036,Fe,PCT,None,None,PCT,,Fe_PPM,3.6000001
866637328,78646915,3516031,12DRD001,NFT246509,100006,227.0,228.0,S,0.804199994,S,PCT,None,None,PCT,,S_PPM,8042.0
866637323,78646915,3516031,12DRD001,NFT246509,100006,227.0,228.0,Fe,0.000338,Fe,PCT,None,None,PCT,,Fe_PPM,3.38
866637345,78646916,3516031,12DRD001,NFT246510,100006,228.0,229.0,Fe,0.000315,Fe,PCT,None,None,PCT,,Fe_PPM,3.15
866637350,78646916,3516031,12DRD001,NFT246510,100006,228.0,229.0,S,0.115400001,S,PCT,None,None,PCT,,S_PPM,1154.0
866637372,78646917,3516031,12DRD001,NFT246511,100006,229.0,230.0,S,0.083700001,S,PCT,None,None,PCT,,S_PPM,837.0
866637367,78646917,3516031,12DRD001,NFT246511,100006,229.0,230.0,Fe,0.000306,Fe,PCT,None,None,PCT,,Fe_PPM,3.06
866637394,78646918,3516031,12DRD001,NFT246512,100006,230.0,231.0,S,0.715499997,S,PCT,None,None,PCT,,S_PPM,7155.0
866637389,78646918,3516031,12DRD001,NFT246512,100006,230.0,231.0,Fe,0.000329,Fe,PCT,None,None,PCT,,Fe_PPM,3.29
866637416,78646919,3516031,12DRD001,NFT246513,100006,231.0,232.0,S,0.296999991,S,PCT,None,None,PCT,,S_PPM,2970.0
866637411,78646919,3516031,12DRD001,NFT246513,100006,231.0,232.0,Fe,0.000307,Fe,PCT,None,None,PCT,,Fe_PPM,3.0700002
866637438,78646920,3516031,12DRD001,NFT246514,100006,232.0,233.0,S,0.379700005,S,PCT,None,None,PCT,,S_PPM,3797.0
866637433,78646920,3516031,12DRD001,NFT246514,100006,232.0,233.0,Fe,0.000232,Fe,PCT,None,None,PCT,,Fe_PPM,2.3200002
866637455,78646921,3516031,12DRD001,NFT246515,100006,233.0,234.0,Fe,0.000235,Fe,PCT,None,None,PCT,,Fe_PPM,2.35
866637460,78646921,3516031,12DRD001,NFT246515,100006,233.0,234.0,S,0.093400002,S,PCT,None,None,PCT,,S_PPM,934.0
866637477,78646922,3516031,12DRD001,NFT246516,100006,234.0,235.0,Fe,0.000271,Fe,PCT,None,None,PCT,,Fe_PPM,2.71
866637482,78646922,3516031,12DRD001,NFT246516,100006,234.0,235.0,S,0.218899995,S,PCT,None,None,PCT,,S_PPM,2189.0
866637499,78646923,3516031,12DRD001,NFT246517,100006,235.0,236.0,Fe,0.000424,Fe,PCT,None,None,PCT,,Fe_PPM,4.24
866637504,78646923,3516031,12DRD001,NFT246517,100006,235.0,236.0,S,0.086599998,S,PCT,None,None,PCT,,S_PPM,866.0
866637526,78646924,3516031,12DRD001,NFT246518,100006,236.0,237.0,S,0.196400002,S,PCT,None,None,PCT,,S_PPM,1964.0
866637521,78646924,3516031,12DRD001,NFT246518,100006,236.0,237.0,Fe,0.000422,Fe,PCT,None,None,PCT,,Fe_PPM,4.2200003
866637548,78646925,3516031,12DRD001,NFT246519,100006,237.0,238.0,S,0.467799991,S,PCT,None,None,PCT,,S_PPM,4678.0
866637543,78646925,3516031,12DRD001,NFT246519,100006,237.0,238.0,Fe,0.00043,Fe,PCT,None,None,PCT,,Fe_PPM,4.2999997
866637570,78646926,3516031,12DRD001,NFT246520,100006,238.0,239.0,S,0.279799998,S,PCT,None,None,PCT,,S_PPM,2798.0
866637565,78646926,3516031,12DRD001,NFT246520,100006,238.0,239.0,Fe,0.000451,Fe,PCT,None,None,PCT,,Fe_PPM,4.51
866637592,78646927,3516031,12DRD001,NFT246523,100006,239.0,240.0,S,0.309500009,S,PCT,None,None,PCT,,S_PPM,3095.0
866637587,78646927,3516031,12DRD001,NFT246523,100006,239.0,240.0,Fe,0.000398,Fe,PCT,None,None,PCT,,Fe_PPM,3.98
866637609,78646928,3516031,12DRD001,NFT246524,100006,240.0,241.0,Fe,0.000438,Fe,PCT,None,None,PCT,,Fe_PPM,4.38
866637614,78646928,3516031,12DRD001,NFT246524,100006,240.0,241.0,S,2.633500099,S,PCT,None,None,PCT,,S_PPM,26335.002
866637631,78646929,3516031,12DRD001,NFT246525,100006,241.0,242.0,Fe,0.000324,Fe,PCT,None,None,PCT,,Fe_PPM,3.24
866637636,78646929,3516031,12DRD001,NFT246525,100006,241.0,242.0,S,0.5079,S,PCT,None,None,PCT,,S_PPM,5079.0
866637653,78646930,3516031,12DRD001,NFT246526,100006,257.0,258.0,Fe,0.000696,Fe,PCT,None,None,PCT,,Fe_PPM,6.96
866637658,78646930,3516031,12DRD001,NFT246526,100006,257.0,258.0,S,2.847300053,S,PCT,None,None,PCT,,S_PPM,28473.0
866637675,78646931,3516031,12DRD001,NFT246527,100006,258.0,259.0,Fe,0.000317,Fe,PCT,None,None,PCT,,Fe_PPM,3.17
866637680,78646931,3516031,12DRD001,NFT246527,100006,258.0,259.0,S,0.349599987,S,PCT,None,None,PCT,,S_PPM,3495.9998
866637697,78646932,3516031,12DRD001,NFT246528,100006,259.0,260.0,Fe,0.000513,Fe,PCT,None,None,PCT,,Fe_PPM,5.13
866637702,78646932,3516031,12DRD001,NFT246528,100006,259.0,260.0,S,1.614899993,S,PCT,None,None,PCT,,S_PPM,16149.0
866637719,78646933,3516031,12DRD001,NFT246529,100006,260.0,261.0,Fe,0.00087,Fe,PCT,None,None,PCT,,Fe_PPM,8.7
866637724,78646933,3516031,12DRD001,NFT246529,100006,260.0,261.0,S,5.739699841,S,PCT,None,None,PCT,,S_PPM,57397.0
866637741,78646934,3516031,12DRD001,NFT246530,100006,261.0,262.0,Fe,0.000723,Fe,PCT,None,None,PCT,,Fe_PPM,7.2299995
866637746,78646934,3516031,12DRD001,NFT246530,100006,261.0,262.0,S,2.940099955,S,PCT,None,None,PCT,,S_PPM,29401.0
866637768,78646935,3516031,12DRD001,NFT246531,100006,262.0,263.0,S,1.959900022,S,PCT,None,None,PCT,,S_PPM,19599.0
866637763,78646935,3516031,12DRD001,NFT246531,100006,262.0,263.0,Fe,0.000671,Fe,PCT,None,None,PCT,,Fe_PPM,6.71
866637790,78646936,3516031,12DRD001,NFT246532,100006,263.0,264.0,S,4.324200153,S,PCT,None,None,PCT,,S_PPM,43242.0
866637785,78646936,3516031,12DRD001,NFT246532,100006,263.0,264.0,Fe,0.000876,Fe,PCT,None,None,PCT,,Fe_PPM,8.76
866637807,78646937,3516031,12DRD001,NFT246533,100006,264.0,265.0,Fe,0.000929,Fe,PCT,None,None,PCT,,Fe_PPM,9.29
866637812,78646937,3516031,12DRD001,NFT246533,100006,264.0,265.0,S,3.683399916,S,PCT,None,None,PCT,,S_PPM,36834.0
866637834,78646938,3516031,12DRD001,NFT246534,100006,265.0,266.0,S,8.176199913,S,PCT,None,None,PCT,,S_PPM,81762.0
866637829,78646938,3516031,12DRD001,NFT246534,100006,265.0,266.0,Fe,0.001407,Fe,PCT,None,None,PCT,,Fe_PPM,14.07
866637851,78646939,3516031,12DRD001,NFT246535,100006,266.0,267.0,Fe,0.000327,Fe,PCT,None,None,PCT,,Fe_PPM,3.27
866637856,78646939,3516031,12DRD001,NFT246535,100006,266.0,267.0,S,1.557600021,S,PCT,None,None,PCT,,S_PPM,15576.0
866637873,78646940,3516031,12DRD001,NFT246536,100006,267.0,268.0,Fe,0.001984,Fe,PCT,None,None,PCT,,Fe_PPM,19.84
866637878,78646940,3516031,12DRD001,NFT246536,100006,267.0,268.0,S,12.72649956,S,PCT,None,None,PCT,,S_PPM,127264.99
866637900,78646941,3516031,12DRD001,NFT246537,100006,268.0,269.0,S,22.6692009,S,PCT,None,None,PCT,,S_PPM,226692.02
866637895,78646941,3516031,12DRD001,NFT246537,100006,268.0,269.0,Fe,0.00341,Fe,PCT,None,None,PCT,,Fe_PPM,34.1
866637922,78646942,3516031,12DRD001,NFT246538,100006,269.0,270.0,S,16.09930038,S,PCT,None,None,PCT,,S_PPM,160993.0
866637917,78646942,3516031,12DRD001,NFT246538,100006,269.0,270.0,Fe,0.003222,Fe,PCT,None,None,PCT,,Fe_PPM,32.22
866637939,78646943,3516031,12DRD001,NFT246539,100006,270.0,271.0,Fe,0.001316,Fe,PCT,None,None,PCT,,Fe_PPM,13.16
866637944,78646943,3516031,12DRD001,NFT246539,100006,270.0,271.0,S,7.442599773,S,PCT,None,None,PCT,,S_PPM,74426.0
866637966,78646944,3516031,12DRD001,NFT246540,100006,271.0,272.0,S,6.543600082,S,PCT,None,None,PCT,,S_PPM,65436.0
866637961,78646944,3516031,12DRD001,NFT246540,100006,271.0,272.0,Fe,0.001184,Fe,PCT,None,None,PCT,,Fe_PPM,11.84
866637988,78646945,3516031,12DRD001,NFT246541,100006,272.0,273.0,S,10.63560009,S,PCT,None,None,PCT,,S_PPM,106356.0
866637983,78646945,3516031,12DRD001,NFT246541,100006,272.0,273.0,Fe,0.001787,Fe,PCT,None,None,PCT,,Fe_PPM,17.869999
866638010,78646946,3516031,12DRD001,NFT246542,100006,273.0,274.0,S,10.81239986,S,PCT,None,None,PCT,,S_PPM,108124.0
866638005,78646946,3516031,12DRD001,NFT246542,100006,273.0,274.0,Fe,0.00184,Fe,PCT,None,None,PCT,,Fe_PPM,18.4
866638032,78646947,3516031,12DRD001,NFT246546,100006,274.0,275.0,S,1.702499986,S,PCT,None,None,PCT,,S_PPM,17025.0
866638027,78646947,3516031,12DRD001,NFT246546,100006,274.0,275.0,Fe,0.000678,Fe,PCT,None,None,PCT,,Fe_PPM,6.7799997
866638054,78646948,3516031,12DRD001,NFT246547,100006,275.0,276.0,S,0.452300012,S,PCT,None,None,PCT,,S_PPM,4523.0
866638049,78646948,3516031,12DRD001,NFT246547,100006,275.0,276.0,Fe,0.00053,Fe,PCT,None,None,PCT,,Fe_PPM,5.3
866638076,78646949,3516031,12DRD001,NFT246548,100006,276.0,277.0,S,0.310799986,S,PCT,None,None,PCT,,S_PPM,3107.9998
866638071,78646949,3516031,12DRD001,NFT246548,100006,276.0,277.0,Fe,0.000464,Fe,PCT,None,None,PCT,,Fe_PPM,4.6400003
866638098,78646950,3516031,12DRD001,NFT246549,100006,277.0,278.0,S,0.439500004,S,PCT,None,None,PCT,,S_PPM,4395.0
866638093,78646950,3516031,12DRD001,NFT246549,100006,277.0,278.0,Fe,0.000571,Fe,PCT,None,None,PCT,,Fe_PPM,5.71
866638115,78646951,3516031,12DRD001,NFT246550,100006,278.0,279.0,Fe,0.000549,Fe,PCT,None,None,PCT,,Fe_PPM,5.49
866638120,78646951,3516031,12DRD001,NFT246550,100006,278.0,279.0,S,0.93779999,S,PCT,None,None,PCT,,S_PPM,9378.0
866638137,78646952,3516031,12DRD001,NFT246551,100006,279.0,280.0,Fe,0.000661,Fe,PCT,None,None,PCT,,Fe_PPM,6.61
866638142,78646952,3516031,12DRD001,NFT246551,100006,279.0,280.0,S,0.480399996,S,PCT,None,None,PCT,,S_PPM,4804.0
866638164,78646953,3516031,12DRD001,NFT246552,100006,280.0,281.0,S,7.338500023,S,PCT,None,None,PCT,,S_PPM,73385.0
866638159,78646953,3516031,12DRD001,NFT246552,100006,280.0,281.0,Fe,0.001518,Fe,PCT,None,None,PCT,,Fe_PPM,15.18
866638181,78646954,3516031,12DRD001,NFT246553,100006,281.0,282.0,Fe,0.002264,Fe,PCT,None,None,PCT,,Fe_PPM,22.64
866638186,78646954,3516031,12DRD001,NFT246553,100006,281.0,282.0,S,14.66800022,S,PCT,None,None,PCT,,S_PPM,146680.0
866638203,78646955,3516031,12DRD001,NFT246554,100006,282.0,283.0,Fe,0.002189,Fe,PCT,None,None,PCT,,Fe_PPM,21.89
866638208,78646955,3516031,12DRD001,NFT246554,100006,282.0,283.0,S,11.99209976,S,PCT,None,None,PCT,,S_PPM,119921.0
866638230,78646956,3516031,12DRD001,NFT246555,100006,283.0,284.0,S,9.153300285,S,PCT,None,None,PCT,,S_PPM,91533.0
866638225,78646956,3516031,12DRD001,NFT246555,100006,283.0,284.0,Fe,0.001696,Fe,PCT,None,None,PCT,,Fe_PPM,16.96
866638247,78646957,3516031,12DRD001,NFT246556,100006,284.0,285.0,Fe,0.001389,Fe,PCT,None,None,PCT,,Fe_PPM,13.889999
866638252,78646957,3516031,12DRD001,NFT246556,100006,284.0,285.0,S,7.431499958,S,PCT,None,None,PCT,,S_PPM,74315.0
866638274,78646958,3516031,12DRD001,NFT246557,100006,285.0,286.0,S,5.475500107,S,PCT,None,None,PCT,,S_PPM,54755.0
866638269,78646958,3516031,12DRD001,NFT246557,100006,285.0,286.0,Fe,0.001065,Fe,PCT,None,None,PCT,,Fe_PPM,10.65
866638296,78646959,3516031,12DRD001,NFT246558,100006,286.0,287.0,S,4.975299835,S,PCT,None,None,PCT,,S_PPM,49753.0
866638291,78646959,3516031,12DRD001,NFT246558,100006,286.0,287.0,Fe,0.00119,Fe,PCT,None,None,PCT,,Fe_PPM,11.9
866638313,78646960,3516031,12DRD001,NFT246559,100006,287.0,288.0,Fe,0.000761,Fe,PCT,None,None,PCT,,Fe_PPM,7.6099997
866638318,78646960,3516031,12DRD001,NFT246559,100006,287.0,288.0,S,2.475800037,S,PCT,None,None,PCT,,S_PPM,24758.0
866638335,78646961,3516031,12DRD001,NFT246560,100006,288.0,289.0,Fe,0.000704,Fe,PCT,None,None,PCT,,Fe_PPM,7.04
866638340,78646961,3516031,12DRD001,NFT246560,100006,288.0,289.0,S,3.039999962,S,PCT,None,None,PCT,,S_PPM,30400.0
866638362,78646962,3516031,12DRD001,NFT246561,100006,289.0,290.0,S,8.292699814,S,PCT,None,None,PCT,,S_PPM,82927.0
866638357,78646962,3516031,12DRD001,NFT246561,100006,289.0,290.0,Fe,0.001367,Fe,PCT,None,None,PCT,,Fe_PPM,13.67
866638379,78646963,3516031,12DRD001,NFT246562,100006,290.0,291.0,Fe,0.000969,Fe,PCT,None,None,PCT,,Fe_PPM,9.69
866638384,78646963,3516031,12DRD001,NFT246562,100006,290.0,291.0,S,5.3604002,S,PCT,None,None,PCT,,S_PPM,53604.004
866638406,78646964,3516031,12DRD001,NFT246563,100006,291.0,292.0,S,4.133699894,S,PCT,None,None,PCT,,S_PPM,41337.0
866638401,78646964,3516031,12DRD001,NFT246563,100006,291.0,292.0,Fe,0.000736,Fe,PCT,None,None,PCT,,Fe_PPM,7.36
866638428,78646965,3516031,12DRD001,NFT246564,100006,292.0,293.0,S,1.976300001,S,PCT,None,None,PCT,,S_PPM,19763.0
866638423,78646965,3516031,12DRD001,NFT246564,100006,292.0,293.0,Fe,0.000493,Fe,PCT,None,None,PCT,,Fe_PPM,4.9300003
866638445,78646966,3516031,12DRD001,NFT246565,100006,293.0,294.0,Fe,0.000376,Fe,PCT,None,None,PCT,,Fe_PPM,3.76
866638450,78646966,3516031,12DRD001,NFT246565,100006,293.0,294.0,S,1.070600033,S,PCT,None,None,PCT,,S_PPM,10706.0
866638472,78646967,3516031,12DRD001,NFT246568,100006,294.0,295.0,S,0.76700002,S,PCT,None,None,PCT,,S_PPM,7670.0
866638467,78646967,3516031,12DRD001,NFT246568,100006,294.0,295.0,Fe,0.000288,Fe,PCT,None,None,PCT,,Fe_PPM,2.88
866638489,78646968,3516031,12DRD001,NFT246569,100006,295.0,296.0,Fe,0.000425,Fe,PCT,None,None,PCT,,Fe_PPM,4.25
866638494,78646968,3516031,12DRD001,NFT246569,100006,295.0,296.0,S,0.896399975,S,PCT,None,None,PCT,,S_PPM,8964.0
866638511,78646969,3516031,12DRD001,NFT246570,100006,296.0,297.0,Fe,0.000427,Fe,PCT,None,None,PCT,,Fe_PPM,4.27
866638516,78646969,3516031,12DRD001,NFT246570,100006,296.0,297.0,S,0.99150002,S,PCT,None,None,PCT,,S_PPM,9915.0
866638533,78646970,3516031,12DRD001,NFT246571,100006,297.0,298.0,Fe,0.000292,Fe,PCT,None,None,PCT,,Fe_PPM,2.92
866638538,78646970,3516031,12DRD001,NFT246571,100006,297.0,298.0,S,0.59799999,S,PCT,None,None,PCT,,S_PPM,5980.0
866638555,78646971,3516031,12DRD001,NFT246572,100006,298.0,299.0,Fe,0.000394,Fe,PCT,None,None,PCT,,Fe_PPM,3.94
866638560,78646971,3516031,12DRD001,NFT246572,100006,298.0,299.0,S,0.394199997,S,PCT,None,None,PCT,,S_PPM,3942.0
866638582,78646972,3516031,12DRD001,NFT246573,100006,299.0,300.0,S,0.460900009,S,PCT,None,None,PCT,,S_PPM,4609.0
866638577,78646972,3516031,12DRD001,NFT246573,100006,299.0,300.0,Fe,0.000354,Fe,PCT,None,None,PCT,,Fe_PPM,3.54
866638604,78646973,3516031,12DRD001,NFT246574,100006,300.0,301.0,S,0.036200002,S,PCT,None,None,PCT,,S_PPM,362.00003
866638599,78646973,3516031,12DRD001,NFT246574,100006,300.0,301.0,Fe,0.000301,Fe,PCT,None,None,PCT,,Fe_PPM,3.01
866638621,78646974,3516031,12DRD001,NFT246575,100006,301.0,302.0,Fe,0.000945,Fe,PCT,None,None,PCT,,Fe_PPM,9.45
866638626,78646974,3516031,12DRD001,NFT246575,100006,301.0,302.0,S,4.690100193,S,PCT,None,None,PCT,,S_PPM,46901.0
866638643,78646975,3516031,12DRD001,NFT246576,100006,302.0,303.0,Fe,0.000882,Fe,PCT,None,None,PCT,,Fe_PPM,8.820001
866638648,78646975,3516031,12DRD001,NFT246576,100006,302.0,303.0,S,2.115200043,S,PCT,None,None,PCT,,S_PPM,21152.0
866638670,78646976,3516031,12DRD001,NFT246577,100006,303.0,304.0,S,2.040600061,S,PCT,None,None,PCT,,S_PPM,20406.0
866638665,78646976,3516031,12DRD001,NFT246577,100006,303.0,304.0,Fe,0.000947,Fe,PCT,None,None,PCT,,Fe_PPM,9.47
866638687,78646977,3516031,12DRD001,NFT246578,100006,304.0,305.0,Fe,0.000667,Fe,PCT,None,None,PCT,,Fe_PPM,6.67
